"","CFSAUID","DGUID","PRUID","PRNAME","LANDAREA","geometry","coord"
"132","E2E","2021A0011E2E","13","New Brunswick / Nouveau-Brunswick",25.8261,c(8201489.86716491, 1440309.66607947),c(-65.9778241598051, 45.4133927837759)
"133","E2G","2021A0011E2G","13","New Brunswick / Nouveau-Brunswick",32.4951,c(8203829.32183256, 1445133.24726796),c(-65.9267385046817, 45.4444231739311)
"134","E2H","2021A0011E2H","13","New Brunswick / Nouveau-Brunswick",23.6453,c(8202477.55883868, 1432848.09761269),c(-66.0035376431487, 45.3492200654567)
"135","E2J","2021A0011E2J","13","New Brunswick / Nouveau-Brunswick",31.2457,c(8205395.46432716, 1426803.4294713),c(-65.9999078366763, 45.2898263084966)
"136","E2K","2021A0011E2K","13","New Brunswick / Nouveau-Brunswick",31.6109,c(8198615.47670917, 1425783.26521865),c(-66.0831233138965, 45.3052408130326)
"137","E2L","2021A0011E2L","13","New Brunswick / Nouveau-Brunswick",2.4507,c(8202109.19992134, 1423254.53168652),c(-66.0553650394187, 45.2724564005514)
"138","E2M","2021A0011E2M","13","New Brunswick / Nouveau-Brunswick",119.6854,c(8195073.53295971, 1415246.86495992),c(-66.1759685023317, 45.2318230210926)
"139","E2N","2021A0011E2N","13","New Brunswick / Nouveau-Brunswick",91.107,c(8209625.72006469, 1431867.10174593),c(-65.9259911819047, 45.316164836043)
"140","E2P","2021A0011E2P","13","New Brunswick / Nouveau-Brunswick",25.6766,c(8204871.60160879, 1419532.52955005),c(-66.0419731352276, 45.2325207728025)
"141","E2S","2021A0011E2S","13","New Brunswick / Nouveau-Brunswick",311.7279,c(8218361.13710712, 1435162.32005438),c(-65.8089300833793, 45.3121945389181)
"142","E2V","2021A0011E2V","13","New Brunswick / Nouveau-Brunswick",281.9287,c(8152541.976508, 1467274.98703041),c(-66.4128057783657, 45.8038036308136)
"143","E3A","2021A0011E3A","13","New Brunswick / Nouveau-Brunswick",1151.348,c(8144323.01283496, 1501470.33732539),c(-66.3392932541309, 46.1119460997147)
"144","E3B","2021A0011E3B","13","New Brunswick / Nouveau-Brunswick",521.3186,c(8130371.47533692, 1449721.25585754),c(-66.7582108037715, 45.736323079008)
"145","E3C","2021A0011E3C","13","New Brunswick / Nouveau-Brunswick",152.6019,c(8127861.85800366, 1464529.03884423),c(-66.7152786096934, 45.8662061652395)
"146","E3E","2021A0011E3E","13","New Brunswick / Nouveau-Brunswick",257.5042,c(8118169.93648594, 1459512.11369027),c(-66.8534828114531, 45.8581420531941)
"147","E3G","2021A0011E3G","13","New Brunswick / Nouveau-Brunswick",227.4319,c(8118156.4970008, 1482472.37344713),c(-66.7413699605783, 46.0464845239495)
"148","E3L","2021A0011E3L","13","New Brunswick / Nouveau-Brunswick",363.2107,c(8109931.64867912, 1381274.4485004),c(-67.3246064293353, 45.2441769144057)
"149","E3N","2021A0011E3N","13","New Brunswick / Nouveau-Brunswick",1441.2183,c(8039403.06033418, 1659844.80128435),c(-66.8002174912056, 47.7767631569211)
"150","E3V","2021A0011E3V","13","New Brunswick / Nouveau-Brunswick",86.6808,c(7945089.90362768, 1569932.13432863),c(-68.3988949890892, 47.3445369362362)
"151","E3Y","2021A0011E3Y","13","New Brunswick / Nouveau-Brunswick",1163.2145,c(8004823.85445633, 1586231.37993445),c(-67.5903760359994, 47.2844021376426)
"152","E3Z","2021A0011E3Z","13","New Brunswick / Nouveau-Brunswick",171.6515,c(8008586.64624459, 1544652.12954783),c(-67.7465385319574, 46.9273447919169)
"153","E4A","2021A0011E4A","13","New Brunswick / Nouveau-Brunswick",1248.8792,c(8176424.07239897, 1520803.74498851),c(-65.8646424407411, 46.1574449051365)
"154","E4B","2021A0011E4B","13","New Brunswick / Nouveau-Brunswick",475.8974,c(8163092.30695282, 1493736.94906445),c(-66.1576248272698, 45.9833578773565)
"155","E4C","2021A0011E4C","13","New Brunswick / Nouveau-Brunswick",580.8362,c(8187524.64905747, 1488925.75183672),c(-65.8962288772333, 45.8583666984625)
"156","E4E","2021A0011E4E","13","New Brunswick / Nouveau-Brunswick",664.4041,c(8234465.46195667, 1480917.94366655),c(-65.3918281842551, 45.6263569882899)
"157","E4G","2021A0011E4G","13","New Brunswick / Nouveau-Brunswick",436.7752,c(8220039.78420228, 1498644.76938468),c(-65.4683456540824, 45.8219382432699)
"158","E4H","2021A0011E4H","13","New Brunswick / Nouveau-Brunswick",1016.5965,c(8271275.69237893, 1510803.27976401),c(-64.8120937205165, 45.734961936834)
"159","E4J","2021A0011E4J","13","New Brunswick / Nouveau-Brunswick",205.8624,c(8242264.54716845, 1530124.97141938),c(-65.04730947201, 45.9972085762462)
"160","E4K","2021A0011E4K","13","New Brunswick / Nouveau-Brunswick",252.6022,c(8277697.10392348, 1542217.55756889),c(-64.5724808864361, 45.9651677771379)
"161","E4L","2021A0011E4L","13","New Brunswick / Nouveau-Brunswick",691.1698,c(8292363.88779629, 1545549.85194485),c(-64.3850596828766, 45.937688543348)
"162","E4M","2021A0011E4M","13","New Brunswick / Nouveau-Brunswick",442.1741,c(8313437.12356282, 1577484.48427901),c(-63.9695669690269, 46.1160038952602)
"163","E4N","2021A0011E4N","13","New Brunswick / Nouveau-Brunswick",113.3426,c(8293402.86345653, 1574960.15587717),c(-64.2153912708327, 46.1709874011826)
